,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,1,2,1,6,142,4,3,3,3,2,3,3,48,1,1,1,1,0,1,1,1
1,0,29,3,6,770,2,0,1,0,2,1,3,3,1,1,0,1,0,0,1,0
2,3,8,1,2,390,2,1,1,3,2,2,3,30,1,1,0,3,1,0,1,1
3,1,26,3,3,848,2,1,1,3,1,3,1,26,1,0,0,1,1,0,1,1
4,1,17,2,4,734,2,0,2,3,2,3,2,34,1,0,1,1,1,0,1,0
5,3,23,3,2,869,4,0,1,3,2,3,2,16,1,0,0,3,1,1,1,1
6,3,17,3,3,533,1,3,2,3,2,3,1,34,1,1,0,1,0,0,1,1
7,0,23,3,9,813,2,0,1,3,2,1,0,16,1,2,0,0,0,1,1,1
8,3,8,3,6,562,3,1,1,1,2,3,3,42,1,1,0,3,0,0,1,1
9,0,21,1,4,747,2,4,3,2,2,1,0,9,1,1,1,0,0,0,1,0
10,0,8,3,4,190,2,2,2,0,2,0,0,6,1,2,0,1,0,0,1,0
11,1,29,3,0,700,2,2,2,0,2,3,1,5,1,2,0,1,0,0,1,0
12,0,8,3,6,287,2,0,0,0,2,0,0,3,1,1,0,1,0,1,1,1
13,1,17,1,4,149,2,3,3,3,2,3,0,41,1,1,1,3,0,0,1,0
14,1,11,3,4,232,2,0,1,0,2,3,0,9,1,2,0,1,0,0,1,1
15,1,17,3,6,183,0,0,3,0,2,1,0,13,1,1,0,3,0,0,1,0
16,3,17,1,6,464,4,3,3,3,2,3,1,34,1,1,1,1,0,0,1,1
17,1,21,4,0,852,4,2,1,3,2,2,0,6,0,1,2,1,0,0,1,1
18,0,17,3,9,903,2,3,3,0,2,1,2,25,1,0,0,0,0,1,1,0
19,3,17,3,6,608,1,3,2,3,2,1,0,12,1,1,0,1,1,1,1,1
20,3,5,1,4,401,2,0,3,3,2,3,0,29,1,1,2,1,0,1,1,1
21,1,2,3,6,498,1,0,1,3,2,2,3,25,1,2,0,1,1,0,1,1
22,1,6,1,4,422,2,2,0,3,2,2,3,29,1,2,1,3,1,0,0,1
23,0,8,1,9,322,0,2,2,3,2,3,1,25,1,1,0,1,0,0,1,1
24,3,6,1,3,387,4,0,1,2,2,0,0,7,1,1,1,1,0,0,0,1
25,1,2,3,3,222,2,0,0,3,2,1,3,17,0,1,0,3,0,1,1,1
26,3,2,4,6,10,2,3,3,2,2,3,0,20,1,1,0,3,0,0,1,1
27,2,8,0,6,9,3,0,2,0,2,2,3,23,1,2,1,1,0,0,1,1
28,0,3,3,6,463,2,0,2,3,1,1,3,15,1,1,0,1,0,0,1,1
29,1,31,2,0,808,2,3,2,3,2,3,2,44,1,1,1,1,0,1,1,0
30,0,13,3,0,349,3,2,2,2,2,2,3,17,0,1,0,1,0,1,1,1
31,1,17,3,3,682,2,0,1,3,2,1,0,8,2,1,0,1,0,0,1,1
32,0,13,3,4,768,0,0,1,3,2,1,0,11,1,1,1,1,0,1,1,1
33,3,8,1,0,178,4,3,3,3,2,3,2,38,1,2,0,3,0,0,1,1
34,2,8,3,3,253,2,2,3,0,2,0,1,14,0,1,0,0,0,1,1,1
35,0,27,1,6,725,2,2,3,3,2,1,1,6,1,1,1,3,0,0,1,0
36,3,29,1,2,776,2,0,0,3,2,2,2,12,0,0,0,1,0,1,1,1
37,2,13,3,6,391,2,0,3,3,0,1,3,18,2,1,0,1,0,0,1,0
38,2,6,3,1,163,2,0,1,3,2,1,0,18,1,1,0,1,0,1,1,1
39,0,5,3,6,15,2,0,3,3,2,2,3,5,1,1,0,1,0,0,1,1
40,3,21,3,6,447,1,3,3,3,2,1,0,11,0,1,0,0,0,0,1,1
